WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,RECOMMENDED_AMOUNT,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,FILE_STATUS,TENURE_START_DATE,TENURE_END_DATE,ATTACH_ID,SANCTION_DATE,Total_Amt,WORK_ID,ACTUAL_AMOUNT,ACTUAL_END_DATE,AVERAGE_RATING,VENDOR_NAME,VENDOR_ID,IA_NAME,FUND_DISBURSED_AMT,WORK_STATUS,days_to_sanction,days_since_recommendation,days_to_complete,is_completed_flag,SANCTION_FY,RECOMMENDATION_FY,FY,RECIPIENT_TYPE,IS_TRIBAL_TRUST,IS_SC_AREA,IS_ST_AREA,rule_violations,rule_score,cost_anomaly_score,cost_anomaly_flag,cost_anomaly_method,category_median,category_sample_size,cost_anomaly_reason,is_duplicate_candidate,duplicate_candidate_score,risk_index,primary_anchors,signal_type_count,tier_level,is_tier2,tier_promotion_reason
Normal/Others,WS/MP672/2024-2025/181699-Construction of community centers and community halls,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Construction of Community Hall at Saroj Nagar Society, Hajari Pahad, Nagpur.",2025-03-13,4996000.0,1.0,250.0,Pending for Sanction,LN/MP672/2024-2025/65,4996000.0,11.0,Constituency_A (Urban Metro Center),181699.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2025-03-22,,,,,,,,,,,9.0,542,,False,2024-25,2024-25,2024-25,Government Agency,False,,,"[{'rule_id': 'D1', 'description': 'Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category', 'weight': 15}, {'rule_id': 'D4', 'description': 'Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion', 'weight': 15}]",30,0.7544876552163063,True,isolation_forest,999971.0,113,"Sanction amount is 5.0x the category median (above typical, based on 113 comparable sanctioned works in this category)",True,0.671,73.69,"['COST_OUTLIER', 'JUST_BELOW_THRESHOLD']",3,Tier 2 (Actionable Red Flag),True,"Actionable Red Flag: Corroborated by 3 independent signals [COST_OUTLIER + JUST_BELOW_THRESHOLD + DUPLICATE_WORK_OVERLAP] -> Cost Outlier: Sanction amount is 5.0x the category median (above typical, based on 113 comparable sanctioned works in this category); Threshold Evasion: Budget of Rs 4,996,000 positioned just below statutory slab; Semantic Overlap: High text & parameter similarity (Score: 0.67)"
Normal/Others,WS/MP672/2025-2026/181702-Construction of community centers and community halls,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),Construction of Community Hall on Plot No.134 (Land of NIT) at Mahalgi Nagar.,2025-03-13,3000000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/66,3000000.0,12.0,Constituency_A (Urban Metro Center),181702.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1815842.0,2025-11-26,,146574.0,2232096.0,2025-11-27,0.0,Nandkishor Namdeorao Thote,69991.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,2232096.0,Payment Success,258.0,542,1.0,True,2025-26,2024-25,2025-26,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}, {'rule_id': 'D1', 'description': 'Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category', 'weight': 15}]",30,0.6187069420551491,True,isolation_forest,999971.0,113,"Sanction amount is 3.0x the category median (above typical, based on 113 comparable sanctioned works in this category)",False,0.0,68.94,['COST_OUTLIER'],2,Tier 2 (Actionable Red Flag),True,"Actionable Red Flag: Corroborated by 2 independent signals [COST_OUTLIER + SANCTION_DELAY_BREACH] -> Cost Outlier: Sanction amount is 3.0x the category median (above typical, based on 113 comparable sanctioned works in this category); Sanction Delay: Took 258d (>75d mandated window)"
Normal/Others,NA-Setting up of laboratories,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Setting up of Modular Science Laboratory at Jawahar Gurukul Vidyalaya, Nandanvan, Nagpur.",2025-03-13,1810000.0,1.0,250.0,Pending for Sanction,LN/MP672/2024-2025/67,1810000.0,13.0,Constituency_A (Urban Metro Center),181710.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,542,,False,,2024-25,2024-25,Government Agency,False,,,"[{'rule_id': 'R2', 'description': 'No sanction and no rejection recorded 45+ days after recommendation', 'weight': 10}]",10,,False,not_evaluated,,0,,False,0.0,25.0,[],0,Tier 1 (Operational Watchlist),False,Operational Watchlist: Operational Backlog: Pending sanction >45d (542d)
Normal/Others,"WS/MP672/2024-2025/185152-Purchase of IT systems, including hardware and software for educational purposes",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),Purchase of 6 Computers along with 3 Printers,2025-03-21,435000.0,1.0,250.0,Work Completed,LN/MP672/2024-2025/69,435000.0,14.0,Constituency_A (Urban Metro Center),185152.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1288710.0,2025-03-22,,97924.0,435000.0,2025-03-30,0.0,Shri Jaitai Enterprises Sharda Katore,32409.0,District Planing Officer District Planning Committee Collector Office Nagpur,435000.0,Payment Success,1.0,534,8.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,0.2704650291929891,False,isolation_forest,999971.0,113,,False,0.0,12.48,['FAST_TRACK_SANCTION'],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Fast-Track Sanction: Approved in 1d (District bottom quartile)
Normal/Others,WS/MP672/2024-2025/185160-Development of playfields and sports grounds,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Installation of Li-Ning Matin at Badminton Court of NMC Badminton Hall at Vivekanand Nagar, Nagpur",2025-03-21,1000000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/71,1000000.0,15.0,Constituency_A (Urban Metro Center),185160.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1264088.0,2025-03-22,,96516.0,992000.0,2025-03-25,0.0,SPORTS ORBIT EVENTS,51356.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,992000.0,Payment Success,1.0,534,3.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,0.0,False,isolation_forest,999971.0,113,,False,0.0,0.0,['FAST_TRACK_SANCTION'],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Fast-Track Sanction: Approved in 1d (District bottom quartile)
Normal/Others,"WS/MP672/2025-2026/198594-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Construction of road at Mouza - Zingabai Takli, Khasra No.110, Nasheman Society, Nagpur.",2025-05-11,1000000.0,1.0,250.0,Work Completed,LN/MP672/2025-2026/72,1000000.0,16.0,Constituency_A (Urban Metro Center),198594.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",2048086.0,2026-02-25,,165997.0,943737.0,2026-02-26,0.0,Shubham Ramdas Zade,82060.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,943737.0,Payment Success,290.0,483,1.0,True,2025-26,2025-26,2025-26,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,0.0,False,isolation_forest,999971.0,113,,False,0.0,20.19,[],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Sanction Delay: Took 290d (>75d mandated window)
Normal/Others,"WS/MP672/2025-2026/198595-Purchase of smart boards, visual display units and projectors",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Upgradation of Class rooms to Smart Class Rooms at Shri Mathuradas Mohota College of Science, Nagpur",2025-05-11,500000.0,1.0,250.0,Work partially Completed,LN/MP672/2025-2026/73,500000.0,17.0,Constituency_A (Urban Metro Center),198595.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-02-09,,,,,,Highstone Technologies Private Limited,88389.0,District Planing Officer District Planning Committee Collector Office Nagpur,449900.0,Payment In-Progress,274.0,483,,False,2025-26,2025-26,2025-26,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,0.1193660637946461,False,isolation_forest,999971.0,113,,False,0.0,25.7,[],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Sanction Delay: Took 274d (>75d mandated window)
Normal/Others,NA-Purchase of furniture and fixtures for educational purposes,Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Purchasing and installation of various items required for library cum study center at Sant Tukaram Maharaj Prabodhini, Ramna Maroti branch of Bawane Kunbi Samaj Seva Mandal, Sakkardara, Nagpur.",2025-05-11,1500000.0,1.0,250.0,Pending for Sanction,LN/MP672/2025-2026/74,1500000.0,18.0,Constituency_A (Urban Metro Center),198599.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,483,,False,,2025-26,2025-26,Government Agency,False,,,"[{'rule_id': 'R2', 'description': 'No sanction and no rejection recorded 45+ days after recommendation', 'weight': 10}]",10,,False,not_evaluated,,0,,False,0.0,25.0,[],0,Tier 1 (Operational Watchlist),False,Operational Watchlist: Operational Backlog: Pending sanction >45d (483d)
Normal/Others,"WS/MP672/2026-2027/215081-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),Construction of Cement Concrete Road at Malik Mouza Society Arya Nagar Prabhag No.1,2025-07-05,2000000.0,1.0,250.0,Physical Inspection,LN/MP672/2025-2026/75,2000000.0,19.0,Constituency_A (Urban Metro Center),215081.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",2190943.0,2026-05-14,,178886.0,1203802.0,2026-05-14,0.0,D M Traders,87730.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,1203802.0,Payment Success,313.0,428,0.0,True,2026-27,2025-26,2026-27,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,0.4470647060994559,False,isolation_forest,999971.0,113,,False,0.0,40.83,[],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Sanction Delay: Took 313d (>75d mandated window)
Normal/Others,"WS/MP672/2026-2027/215119-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Construction of Cement Concrete Road at Sai Sevashram Society, Arya Nagar, Nagpur.",2025-07-05,2000000.0,1.0,250.0,Pending for Sanction,LN/MP672/2025-2026/76,2000000.0,20.0,Constituency_A (Urban Metro Center),215119.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-07-22,,,,,,,,,,,382.0,428,,False,2026-27,2025-26,2026-27,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,0.4470647060994559,False,isolation_forest,999971.0,113,,False,0.0,40.83,[],1,Tier 1 (Operational Watchlist),False,Operational Watchlist: Sanction Delay: Took 382d (>75d mandated window)
Normal/Others,"WS/MP672/2026-2027/215131-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),Cosntruction of road with drainage from Shriram Nagar Kalimata mandir Main road to Drum Karkhana to Sangeeta Gokhle residence Kalamna,2025-07-05,2500000.0,1.0,250.0,Physical Inspection,LN/MP672/2025-2026/77,2500000.0,21.0,Constituency_A (Urban Metro Center),215131.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-06-25,,,,,,Jeet Enterprises,87731.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,1374996.0,Payment Success,355.0,428,,False,2026-27,2025-26,2026-27,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}, {'rule_id': 'D1', 'description': 'Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category', 'weight': 15}, {'rule_id': 'D3', 'description': 'Shared recommendation letter bundle with tranche fragmentation (>= 3 works within Â±15% tolerance) totaling >= â‚¹50L â€” potential engineered proposal fragmentation', 'weight': 15}]",40,0.4103390451880201,False,isolation_forest,999971.0,113,,False,0.0,72.78,"['COST_OUTLIER', 'LETTER_BUNDLE_FRAGMENTATION']",3,Tier 2 (Actionable Red Flag),True,Actionable Red Flag: Corroborated by 3 independent signals [COST_OUTLIER + LETTER_BUNDLE_FRAGMENTATION + SANCTION_DELAY_BREACH] -> Peer Cost Outlier (>1.5x IQR / Isolation Forest); Proposal Fragmentation: Multi-work package under Letter LN/MP672/2025-2026/77 totalling >= Rs 50L; Sanction Delay: Took 355d (>75d mandated window)
Normal/Others,"WS/MP672/2026-2027/215132-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,DISTRICT_A(DISTRICT COLLECTOR DISTRICT_A_IDA),18th Lok Sabha,MP_18LS_01 (Urban Center),"Cosntruction of road with drainage from Gokul Nagar Main road to residence of Mr.Gaurav, Kalamna",2025-07-05,2500000.0,1.0,250.0,Physical Inspection,LN/MP672/2025-2026/77,2500000.0,22.0,Constituency_A (Urban Metro Center),215132.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-07-22,,,,,,Jeet Enterprises,87731.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,1374299.0,Payment Success,382.0,428,,False,2026-27,2025-26,2026-27,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}, {'rule_id': 'D1', 'description': 'Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category', 'weight': 15}, {'rule_id': 'D3', 'description': 'Shared recommendation letter bundle with tranche fragmentation (>= 3 works within Â±15% tolerance) totaling >= â‚¹50L â€” potential engineered proposal fragmentation', 'weight': 15}]",40,0.4103390451880201,False,isolation_forest,999971.0,113,,True,0.927,76.52,"['COST_OUTLIER', 'LETTER_BUNDLE_FRAGMENTATION', 'DUPLICATE_WORK_OVERLAP']",4,Tier 2 (Actionable Red Flag),True,Actionable Red Flag: Corroborated by 4 independent signals [COST_OUTLIER + LETTER_BUNDLE_FRAGMENTATION + DUPLICATE_WORK_OVERLAP + SANCTION_DELAY_BREACH] -> Peer Cost Outlier (>1.5x IQR / Isolation Forest); Proposal Fragmentation: Multi-work package under Letter LN/MP672/2025-2026/77 totalling >= Rs 50L; Semantic Overlap: High text & parameter similarity (Score: 0.93); Sanction Delay: Took 382d (>75d mandated window)
